Molecule,State,Literature Enthalpy of Formation (kJ/mol),Source,Literature Enthalpy of Combustion (kJ/mol),Source
Benzoic Acid,Solid,-384.8,NIST,-3228,NIST
Naphthanlene,Solid,77,NIST,-5160,NIST
Azulene,Solid,212,NIST,-5290.7,NIST
Lauric Acid,Solid,,,-7423.7,NIST
Stearic Acid,Solid,-912,NIST,-11293.75,NIST
Palmitic Acid,solid,,,-9977.6,NIST
Myristic Acid,solid,,,-8675.9,NIST
Capric Acid,solid,,,,
Fumaric Acid,Solid,-811,NIST,-1334.3,NIST
Maleic Acid,solid,-789.28,NIST,-1356.47,NIST
Alpha-D-Glucose,solid,-1274.5,NIST,-2801.5,NIST
Alpha-D-Galactose,solid,-1286.3,NIST,-2789.7,NIST
Beta-D-Fructose,solid,-1265.6,NIST,-2809.8,NIST
Sucrose,solid,-2221.2,NIST,-5647.34,NIST
Water,liquid,-285.83,NIST,,
Carbon Dioxide,gas,-393.52,NIST,,
