Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9924
Water Temp (deg C),24.20
Room Temp (deg C),23.30
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.21
60.00,24.19
90.00,24.20
120.00,24.20
150.00,24.18
180.00,24.18
210.00,24.18
240.00,24.19
270.00,24.20
300.00,24.18
330.00,25.62
360.00,27.91
390.00,29.62
420.00,30.78
450.00,31.44
480.00,31.82
510.00,32.04
540.00,32.20
570.00,32.26
600.00,32.29
630.00,32.30
660.00,32.33
690.00,32.34
720.00,32.30
750.00,32.30
780.00,32.29
810.00,32.30
840.00,32.30
870.00,32.26
900.00,32.28
930.00,32.27
960.00,32.25
