Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9023
Water Temp (deg C),24.89
Room Temp (deg C),24.89
Water Volume (L),2.0
Wire Before (g),0.020
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.89
30.00,24.89
60.00,24.88
90.00,24.87
120.00,24.88
150.00,24.89
180.00,24.88
210.00,24.88
240.00,24.91
270.00,24.88
300.00,24.89
330.00,26.23
360.00,28.31
390.00,29.97
420.00,31.01
450.00,31.62
480.00,32.00
510.00,32.20
540.00,32.32
570.00,32.40
600.00,32.41
630.00,32.44
660.00,32.45
690.00,32.45
720.00,32.42
750.00,32.42
780.00,32.45
810.00,32.41
840.00,32.42
870.00,32.41
900.00,32.42
930.00,32.43
960.00,32.41
