Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9394
Water Temp (deg C),24.30
Room Temp (deg C),23.71
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.31
60.00,24.29
90.00,24.30
120.00,24.32
150.00,24.31
180.00,24.30
210.00,24.29
240.00,24.32
270.00,24.30
300.00,24.31
330.00,25.10
360.00,26.26
390.00,27.12
420.00,27.61
450.00,27.92
480.00,28.07
510.00,28.13
540.00,28.19
570.00,28.22
600.00,28.22
630.00,28.22
660.00,28.25
690.00,28.24
720.00,28.23
750.00,28.21
780.00,28.20
810.00,28.22
840.00,28.21
870.00,28.20
900.00,28.20
930.00,28.21
960.00,28.19
