Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0230
Water Temp (deg C),24.20
Room Temp (deg C),22.49
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.21
90.00,24.20
120.00,24.18
150.00,24.17
180.00,24.20
210.00,24.18
240.00,24.18
270.00,24.20
300.00,24.18
330.00,25.02
360.00,26.32
390.00,27.23
420.00,27.79
450.00,28.12
480.00,28.29
510.00,28.38
540.00,28.44
570.00,28.44
600.00,28.46
630.00,28.47
660.00,28.47
690.00,28.45
720.00,28.47
750.00,28.46
780.00,28.45
810.00,28.43
840.00,28.45
870.00,28.42
900.00,28.43
930.00,28.42
960.00,28.43
