Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0474
Water Temp (deg C),24.40
Room Temp (deg C),25.73
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.42
90.00,24.41
120.00,24.38
150.00,24.39
180.00,24.38
210.00,24.38
240.00,24.42
270.00,24.40
300.00,24.42
330.00,24.97
360.00,25.81
390.00,26.41
420.00,26.79
450.00,27.00
480.00,27.11
510.00,27.17
540.00,27.18
570.00,27.21
600.00,27.20
630.00,27.20
660.00,27.24
690.00,27.22
720.00,27.21
750.00,27.22
780.00,27.21
810.00,27.23
840.00,27.21
870.00,27.23
900.00,27.22
930.00,27.20
960.00,27.21
