Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9688
Water Temp (deg C),24.10
Room Temp (deg C),25.03
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.09
90.00,24.09
120.00,24.08
150.00,24.12
180.00,24.12
210.00,24.12
240.00,24.09
270.00,24.12
300.00,24.10
330.00,24.63
360.00,25.40
390.00,25.97
420.00,26.31
450.00,26.47
480.00,26.60
510.00,26.64
540.00,26.69
570.00,26.68
600.00,26.72
630.00,26.72
660.00,26.71
690.00,26.69
720.00,26.70
750.00,26.70
780.00,26.72
810.00,26.70
840.00,26.70
870.00,26.70
900.00,26.71
930.00,26.71
960.00,26.69
