Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),0.9850
Water Temp (deg C),24.20
Room Temp (deg C),22.40
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.026
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.19
60.00,24.20
90.00,24.22
120.00,24.20
150.00,24.21
180.00,24.20
210.00,24.20
240.00,24.21
270.00,24.20
300.00,24.20
330.00,24.91
360.00,25.96
390.00,26.68
420.00,27.16
450.00,27.41
480.00,27.57
510.00,27.64
540.00,27.66
570.00,27.68
600.00,27.70
630.00,27.69
660.00,27.67
690.00,27.68
720.00,27.69
750.00,27.68
780.00,27.68
810.00,27.67
840.00,27.69
870.00,27.68
900.00,27.67
930.00,27.68
960.00,27.66
