Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),0.9628
Water Temp (deg C),24.20
Room Temp (deg C),24.60
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.20
60.00,24.19
90.00,24.22
120.00,24.21
150.00,24.18
180.00,24.19
210.00,24.19
240.00,24.21
270.00,24.19
300.00,24.22
330.00,24.88
360.00,25.92
390.00,26.64
420.00,27.10
450.00,27.35
480.00,27.49
510.00,27.56
540.00,27.63
570.00,27.63
600.00,27.63
630.00,27.66
660.00,27.64
690.00,27.63
720.00,27.63
750.00,27.62
780.00,27.65
810.00,27.63
840.00,27.64
870.00,27.64
900.00,27.63
930.00,27.63
960.00,27.62
