Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0695
Water Temp (deg C),24.10
Room Temp (deg C),25.00
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.09
90.00,24.09
120.00,24.09
150.00,24.09
180.00,24.09
210.00,24.11
240.00,24.11
270.00,24.08
300.00,24.10
330.00,24.35
360.00,24.71
390.00,25.01
420.00,25.17
450.00,25.25
480.00,25.30
510.00,25.33
540.00,25.35
570.00,25.35
600.00,25.34
630.00,25.34
660.00,25.35
690.00,25.37
720.00,25.37
750.00,25.35
780.00,25.34
810.00,25.37
840.00,25.37
870.00,25.36
900.00,25.34
930.00,25.35
960.00,25.35
