Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9767
Water Temp (deg C),24.30
Room Temp (deg C),24.74
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.30
60.00,24.31
90.00,24.32
120.00,24.30
150.00,24.30
180.00,24.29
210.00,24.30
240.00,24.30
270.00,24.31
300.00,24.32
330.00,24.52
360.00,24.90
390.00,25.15
420.00,25.27
450.00,25.35
480.00,25.41
510.00,25.45
540.00,25.45
570.00,25.44
600.00,25.46
630.00,25.45
660.00,25.45
690.00,25.46
720.00,25.44
750.00,25.44
780.00,25.46
810.00,25.44
840.00,25.47
870.00,25.46
900.00,25.45
930.00,25.47
960.00,25.46
