Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0231
Water Temp (deg C),24.20
Room Temp (deg C),24.16
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.026
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.22
60.00,24.20
90.00,24.19
120.00,24.19
150.00,24.21
180.00,24.20
210.00,24.20
240.00,24.21
270.00,24.22
300.00,24.19
330.00,24.96
360.00,26.11
390.00,26.92
420.00,27.41
450.00,27.72
480.00,27.84
510.00,27.94
540.00,27.97
570.00,27.99
600.00,28.01
630.00,28.01
660.00,28.01
690.00,28.03
720.00,28.01
750.00,27.99
780.00,27.99
810.00,27.99
840.00,27.99
870.00,28.00
900.00,28.01
930.00,28.01
960.00,27.98
