Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0812
Water Temp (deg C),24.40
Room Temp (deg C),22.16
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.41
60.00,24.39
90.00,24.41
120.00,24.41
150.00,24.38
180.00,24.37
210.00,24.38
240.00,24.40
270.00,24.36
300.00,24.37
330.00,25.19
360.00,26.37
390.00,27.23
420.00,27.78
450.00,28.07
480.00,28.23
510.00,28.31
540.00,28.36
570.00,28.36
600.00,28.38
630.00,28.38
660.00,28.37
690.00,28.39
720.00,28.38
750.00,28.37
780.00,28.39
810.00,28.37
840.00,28.38
870.00,28.35
900.00,28.35
930.00,28.36
960.00,28.36
