Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0574
Water Temp (deg C),24.30
Room Temp (deg C),25.76
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.30
60.00,24.29
90.00,24.31
120.00,24.29
150.00,24.29
180.00,24.32
210.00,24.31
240.00,24.30
270.00,24.29
300.00,24.29
330.00,24.57
360.00,24.93
390.00,25.19
420.00,25.36
450.00,25.47
480.00,25.51
510.00,25.53
540.00,25.58
570.00,25.57
600.00,25.56
630.00,25.55
660.00,25.58
690.00,25.58
720.00,25.59
750.00,25.56
780.00,25.59
810.00,25.56
840.00,25.57
870.00,25.59
900.00,25.60
930.00,25.56
960.00,25.60
