Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),0.9346
Water Temp (deg C),24.10
Room Temp (deg C),24.23
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.10
60.00,24.11
90.00,24.11
120.00,24.09
150.00,24.11
180.00,24.09
210.00,24.08
240.00,24.12
270.00,24.11
300.00,24.11
330.00,24.32
360.00,24.64
390.00,24.87
420.00,25.04
450.00,25.13
480.00,25.15
510.00,25.20
540.00,25.22
570.00,25.20
600.00,25.22
630.00,25.22
660.00,25.21
690.00,25.22
720.00,25.20
750.00,25.19
780.00,25.20
810.00,25.19
840.00,25.21
870.00,25.20
900.00,25.21
930.00,25.18
960.00,25.20
