Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Maleic Anhydride
Formula,C4H2O3
Molecular Weight (g/mol),98.042
Sample Weight (g),1.0281
Water Temp (deg C),24.10
Room Temp (deg C),23.14
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.09
90.00,24.09
120.00,24.10
150.00,24.09
180.00,24.11
210.00,24.08
240.00,24.09
270.00,24.11
300.00,24.09
330.00,24.39
360.00,24.81
390.00,25.14
420.00,25.34
450.00,25.46
480.00,25.50
510.00,25.52
540.00,25.54
570.00,25.54
600.00,25.58
630.00,25.56
660.00,25.55
690.00,25.55
720.00,25.56
750.00,25.54
780.00,25.56
810.00,25.55
840.00,25.56
870.00,25.55
900.00,25.56
930.00,25.54
960.00,25.56
