Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9598
Water Temp (deg C),24.10
Room Temp (deg C),25.75
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.12
90.00,24.08
120.00,24.10
150.00,24.09
180.00,24.11
210.00,24.12
240.00,24.11
270.00,24.10
300.00,24.09
330.00,24.84
360.00,25.96
390.00,26.72
420.00,27.21
450.00,27.51
480.00,27.63
510.00,27.71
540.00,27.78
570.00,27.79
600.00,27.80
630.00,27.80
660.00,27.81
690.00,27.82
720.00,27.78
750.00,27.78
780.00,27.81
810.00,27.78
840.00,27.78
870.00,27.79
900.00,27.80
930.00,27.78
960.00,27.79
