Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9597
Water Temp (deg C),24.40
Room Temp (deg C),24.51
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.026
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.38
60.00,24.38
90.00,24.39
120.00,24.39
150.00,24.38
180.00,24.39
210.00,24.40
240.00,24.39
270.00,24.37
300.00,24.41
330.00,25.11
360.00,26.23
390.00,27.02
420.00,27.51
450.00,27.79
480.00,27.92
510.00,28.02
540.00,28.05
570.00,28.07
600.00,28.08
630.00,28.09
660.00,28.07
690.00,28.08
720.00,28.09
750.00,28.09
780.00,28.06
810.00,28.06
840.00,28.06
870.00,28.06
900.00,28.04
930.00,28.06
960.00,28.04
