Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0554
Water Temp (deg C),24.40
Room Temp (deg C),22.45
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.38
60.00,24.39
90.00,24.40
120.00,24.38
150.00,24.40
180.00,24.40
210.00,24.40
240.00,24.38
270.00,24.37
300.00,24.37
330.00,25.22
360.00,26.53
390.00,27.44
420.00,27.99
450.00,28.32
480.00,28.49
510.00,28.59
540.00,28.64
570.00,28.64
600.00,28.67
630.00,28.68
660.00,28.65
690.00,28.67
720.00,28.67
750.00,28.64
780.00,28.66
810.00,28.65
840.00,28.66
870.00,28.66
900.00,28.64
930.00,28.63
960.00,28.63
