Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0968
Water Temp (deg C),24.10
Room Temp (deg C),23.75
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.08
90.00,24.10
120.00,24.10
150.00,24.12
180.00,24.11
210.00,24.11
240.00,24.10
270.00,24.11
300.00,24.09
330.00,24.98
360.00,26.32
390.00,27.27
420.00,27.88
450.00,28.21
480.00,28.39
510.00,28.48
540.00,28.52
570.00,28.54
600.00,28.57
630.00,28.54
660.00,28.56
690.00,28.57
720.00,28.57
750.00,28.56
780.00,28.53
810.00,28.55
840.00,28.55
870.00,28.55
900.00,28.55
930.00,28.55
960.00,28.52
