Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),0.9411
Water Temp (deg C),24.20
Room Temp (deg C),25.57
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.22
60.00,24.22
90.00,24.21
120.00,24.20
150.00,24.22
180.00,24.21
210.00,24.19
240.00,24.22
270.00,24.21
300.00,24.20
330.00,24.96
360.00,26.04
390.00,26.87
420.00,27.37
450.00,27.61
480.00,27.79
510.00,27.87
540.00,27.91
570.00,27.92
600.00,27.91
630.00,27.91
660.00,27.93
690.00,27.95
720.00,27.92
750.00,27.95
780.00,27.92
810.00,27.93
840.00,27.93
870.00,27.95
900.00,27.94
930.00,27.93
960.00,27.91
