Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.0296
Water Temp (deg C),24.20
Room Temp (deg C),22.68
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.19
60.00,24.19
90.00,24.22
120.00,24.19
150.00,24.20
180.00,24.17
210.00,24.20
240.00,24.19
270.00,24.19
300.00,24.20
330.00,24.99
360.00,26.22
390.00,27.06
420.00,27.60
450.00,27.92
480.00,28.07
510.00,28.17
540.00,28.20
570.00,28.21
600.00,28.24
630.00,28.23
660.00,28.25
690.00,28.22
720.00,28.23
750.00,28.20
780.00,28.23
810.00,28.21
840.00,28.22
870.00,28.22
900.00,28.22
930.00,28.20
960.00,28.19
