Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),1.0632
Water Temp (deg C),24.10
Room Temp (deg C),24.22
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.11
90.00,24.11
120.00,24.09
150.00,24.09
180.00,24.09
210.00,24.10
240.00,24.08
270.00,24.10
300.00,24.11
330.00,24.96
360.00,26.22
390.00,27.13
420.00,27.70
450.00,28.02
480.00,28.17
510.00,28.30
540.00,28.34
570.00,28.35
600.00,28.34
630.00,28.35
660.00,28.38
690.00,28.37
720.00,28.37
750.00,28.37
780.00,28.37
810.00,28.35
840.00,28.35
870.00,28.35
900.00,28.36
930.00,28.34
960.00,28.36
