Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),0.9379
Water Temp (deg C),24.20
Room Temp (deg C),23.65
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.21
60.00,24.21
90.00,24.18
120.00,24.21
150.00,24.19
180.00,24.21
210.00,24.21
240.00,24.21
270.00,24.20
300.00,24.20
330.00,24.92
360.00,26.08
390.00,26.87
420.00,27.36
450.00,27.64
480.00,27.82
510.00,27.86
540.00,27.93
570.00,27.93
600.00,27.94
630.00,27.95
660.00,27.94
690.00,27.95
720.00,27.96
750.00,27.96
780.00,27.94
810.00,27.94
840.00,27.92
870.00,27.93
900.00,27.93
930.00,27.94
960.00,27.90
