Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0296
Water Temp (deg C),24.30
Room Temp (deg C),25.46
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.32
60.00,24.29
90.00,24.32
120.00,24.29
150.00,24.30
180.00,24.30
210.00,24.32
240.00,24.28
270.00,24.28
300.00,24.32
330.00,24.63
360.00,25.17
390.00,25.55
420.00,25.78
450.00,25.90
480.00,25.96
510.00,25.98
540.00,26.04
570.00,26.03
600.00,26.04
630.00,26.05
660.00,26.02
690.00,26.05
720.00,26.04
750.00,26.05
780.00,26.03
810.00,26.05
840.00,26.04
870.00,26.04
900.00,26.04
930.00,26.02
960.00,26.02
