Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0509
Water Temp (deg C),24.10
Room Temp (deg C),22.17
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.12
90.00,24.11
120.00,24.08
150.00,24.10
180.00,24.09
210.00,24.10
240.00,24.10
270.00,24.07
300.00,24.08
330.00,24.44
360.00,24.96
390.00,25.33
420.00,25.55
450.00,25.68
480.00,25.75
510.00,25.81
540.00,25.80
570.00,25.82
600.00,25.84
630.00,25.83
660.00,25.81
690.00,25.85
720.00,25.84
750.00,25.83
780.00,25.80
810.00,25.83
840.00,25.81
870.00,25.80
900.00,25.80
930.00,25.83
960.00,25.81
