Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9942
Water Temp (deg C),24.40
Room Temp (deg C),25.60
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.39
90.00,24.39
120.00,24.42
150.00,24.42
180.00,24.40
210.00,24.40
240.00,24.41
270.00,24.41
300.00,24.42
330.00,24.71
360.00,25.18
390.00,25.55
420.00,25.73
450.00,25.84
480.00,25.91
510.00,25.94
540.00,25.99
570.00,25.97
600.00,26.00
630.00,26.00
660.00,25.99
690.00,25.97
720.00,26.00
750.00,25.98
780.00,25.97
810.00,25.99
840.00,25.97
870.00,26.01
900.00,25.99
930.00,26.01
960.00,26.00
