Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0257
Water Temp (deg C),24.10
Room Temp (deg C),22.81
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.11
90.00,24.10
120.00,24.11
150.00,24.07
180.00,24.10
210.00,24.08
240.00,24.07
270.00,24.10
300.00,24.07
330.00,24.42
360.00,24.90
390.00,25.24
420.00,25.44
450.00,25.57
480.00,25.64
510.00,25.65
540.00,25.67
570.00,25.70
600.00,25.68
630.00,25.71
660.00,25.67
690.00,25.69
720.00,25.71
750.00,25.69
780.00,25.67
810.00,25.70
840.00,25.66
870.00,25.70
900.00,25.66
930.00,25.67
960.00,25.68
