Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9256
Water Temp (deg C),24.30
Room Temp (deg C),23.64
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.29
60.00,24.30
90.00,24.28
120.00,24.29
150.00,24.29
180.00,24.30
210.00,24.32
240.00,24.31
270.00,24.30
300.00,24.28
330.00,24.59
360.00,25.03
390.00,25.33
420.00,25.55
450.00,25.65
480.00,25.70
510.00,25.72
540.00,25.75
570.00,25.75
600.00,25.75
630.00,25.76
660.00,25.74
690.00,25.73
720.00,25.75
750.00,25.77
780.00,25.74
810.00,25.74
840.00,25.72
870.00,25.74
900.00,25.72
930.00,25.73
960.00,25.74
