Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0753
Water Temp (deg C),24.20
Room Temp (deg C),25.52
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.18
60.00,24.22
90.00,24.20
120.00,24.19
150.00,24.18
180.00,24.20
210.00,24.20
240.00,24.21
270.00,24.21
300.00,24.23
330.00,24.53
360.00,25.06
390.00,25.44
420.00,25.66
450.00,25.75
480.00,25.83
510.00,25.88
540.00,25.90
570.00,25.92
600.00,25.91
630.00,25.93
660.00,25.91
690.00,25.93
720.00,25.90
750.00,25.94
780.00,25.91
810.00,25.90
840.00,25.92
870.00,25.93
900.00,25.90
930.00,25.91
960.00,25.93
