Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0573
Water Temp (deg C),24.30
Room Temp (deg C),23.76
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.29
60.00,24.30
90.00,24.28
120.00,24.31
150.00,24.29
180.00,24.31
210.00,24.29
240.00,24.30
270.00,24.28
300.00,24.30
330.00,24.65
360.00,25.11
390.00,25.51
420.00,25.73
450.00,25.81
480.00,25.91
510.00,25.95
540.00,25.96
570.00,25.94
600.00,25.97
630.00,25.98
660.00,25.95
690.00,25.98
720.00,25.98
750.00,25.97
780.00,25.95
810.00,25.98
840.00,25.96
870.00,25.97
900.00,25.94
930.00,25.93
960.00,25.96
