Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9916
Water Temp (deg C),24.40
Room Temp (deg C),22.48
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.41
60.00,24.41
90.00,24.40
120.00,24.40
150.00,24.41
180.00,24.40
210.00,24.37
240.00,24.40
270.00,24.38
300.00,24.39
330.00,24.68
360.00,25.18
390.00,25.50
420.00,25.70
450.00,25.83
480.00,25.90
510.00,25.91
540.00,25.94
570.00,25.93
600.00,25.94
630.00,25.93
660.00,25.95
690.00,25.92
720.00,25.94
750.00,25.93
780.00,25.94
810.00,25.91
840.00,25.90
870.00,25.92
900.00,25.91
930.00,25.89
960.00,25.92
